Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,150.419998,152.199997,149.869995,151.880005,151.880005,7820400
2021-12-23,152.320007,154.190002,151.929993,153.630005,153.630005,6572400
2021-12-27,152.880005,154.020004,151.399994,152.800003,152.800003,7762000
2021-12-28,152.619995,156.500000,152.410004,155.199997,155.199997,12198700
2021-12-29,154.559998,155.919998,154.179993,154.869995,154.869995,8737000
2021-12-30,155.710007,157.070007,155.509995,155.929993,155.929993,7228400
2021-12-31,155.869995,156.570007,154.740005,154.889999,154.889999,6410200
2022-01-03,155.830002,157.559998,155.360001,156.759995,156.759995,10222800
2022-01-04,158.589996,160.320007,155.550003,155.729996,155.729996,16582000
2022-01-05,156.520004,159.380005,155.100006,155.190002,155.190002,12272100
2022-01-06,156.240005,157.770004,153.679993,156.899994,156.899994,11095300
2022-01-07,156.899994,159.300003,156.289993,157.830002,157.830002,9554600
2022-01-10,157.979996,158.270004,154.649994,156.600006,156.600006,8672900
2022-01-11,156.619995,158.220001,155.949997,157.889999,157.889999,8042600
2022-01-12,158.500000,158.990005,156.330002,157.800003,157.800003,6995600
2022-01-13,157.699997,158.529999,155.169998,155.440002,155.440002,9680600
2022-01-14,152.350006,152.619995,148.419998,151.940002,151.940002,16832000
2022-01-18,151.110001,153.130005,149.830002,152.270004,152.270004,10419500
2022-01-19,150.839996,152.860001,149.960007,150.110001,150.110001,10413200
2022-01-20,150.910004,152.660004,147.149994,147.619995,147.619995,11760400
2022-01-21,141.229996,141.869995,136.630005,137.380005,137.380005,34491800
2022-01-24,134.820007,137.679993,129.259995,137.460007,137.460007,31419500
2022-01-25,135.289993,137.750000,132.380005,136.509995,136.509995,14694400
2022-01-26,137.710007,138.199997,132.259995,133.600006,133.600006,14569900
2022-01-27,135.070007,137.910004,134.020004,135.419998,135.419998,11913900
2022-01-28,135.210007,138.690002,133.559998,138.630005,138.630005,10011700
2022-01-31,138.860001,143.149994,138.470001,142.970001,142.970001,10185500
2022-02-01,143.020004,144.690002,142.250000,144.490005,144.490005,8573300
2022-02-02,144.190002,144.589996,141.380005,142.619995,142.619995,9529900
2022-02-03,140.000000,142.039993,139.250000,140.029999,140.029999,9820600
2022-02-04,140.039993,143.190002,139.529999,142.020004,142.020004,8061100
2022-02-07,143.389999,144.089996,141.610001,142.509995,142.509995,10937500
2022-02-08,141.789993,142.889999,140.740005,142.479996,142.479996,9231700
2022-02-09,144.369995,147.350006,143.250000,147.229996,147.229996,22877400
2022-02-10,156.020004,157.500000,151.110001,152.160004,152.160004,42500300
2022-02-11,153.539993,154.690002,148.559998,149.470001,149.470001,17975200
2022-02-14,149.369995,153.729996,149.210007,150.850006,150.850006,14694700
2022-02-15,153.539993,154.850006,152.509995,154.720001,154.720001,12726000
2022-02-16,154.979996,156.729996,153.750000,156.350006,156.350006,10656400
2022-02-17,154.690002,155.360001,152.610001,152.949997,152.949997,8110300
2022-02-18,152.910004,153.679993,150.050003,151.360001,151.360001,10785500
2022-02-22,150.190002,150.789993,147.610001,148.089996,148.089996,12227200
2022-02-23,149.500000,149.740005,145.500000,145.869995,145.869995,9300700
2022-02-24,140.000000,149.570007,140.000000,149.399994,149.399994,12475500
2022-02-25,149.559998,150.279999,147.220001,149.529999,149.529999,10149500
2022-02-28,147.830002,149.479996,146.460007,148.460007,148.460007,10834700
2022-03-01,147.860001,148.149994,143.779999,145.699997,145.699997,8944000
2022-03-02,146.309998,148.470001,145.919998,147.339996,147.339996,7851000
2022-03-03,147.309998,148.649994,144.449997,145.570007,145.570007,8048400
2022-03-04,144.009995,144.259995,139.550003,140.720001,140.720001,12913000
2022-03-07,140.279999,140.889999,133.440002,133.500000,133.500000,14549700
2022-03-08,133.020004,135.490005,129.289993,131.750000,131.750000,16552000
2022-03-09,135.490005,135.500000,133.360001,133.649994,133.649994,14673100
2022-03-10,132.360001,134.199997,131.619995,133.639999,133.639999,8447200
2022-03-11,135.080002,136.160004,131.570007,131.750000,131.750000,7058400
2022-03-14,130.979996,133.070007,128.380005,129.029999,129.029999,9971500
2022-03-15,129.740005,134.559998,129.509995,134.199997,134.199997,9834800
2022-03-16,135.649994,138.979996,134.940002,138.139999,138.139999,10638700
2022-03-17,137.440002,139.470001,136.559998,139.470001,139.470001,6816000
2022-03-18,139.550003,140.729996,138.300003,140.300003,140.300003,11308800
2022-03-21,138.899994,139.300003,136.880005,138.619995,138.619995,9090300
2022-03-22,139.059998,142.190002,138.899994,140.110001,140.110001,8511600
2022-03-23,139.070007,139.759995,137.539993,137.639999,137.639999,8761300
2022-03-24,138.580002,139.270004,137.410004,138.960007,138.960007,5858800
2022-03-25,139.279999,140.380005,138.119995,139.139999,139.139999,5949400
2022-03-28,138.880005,139.630005,136.279999,138.720001,138.720001,8456100
2022-03-29,140.960007,144.460007,140.960007,142.380005,142.380005,11280700
2022-03-30,141.309998,143.270004,140.080002,140.960007,140.960007,7922400
2022-03-31,140.139999,140.880005,137.110001,137.160004,137.160004,12306500
2022-04-01,137.339996,138.100006,135.529999,137.000000,137.000000,10341000
2022-04-04,136.970001,139.259995,136.889999,138.580002,138.580002,8174600
2022-04-05,137.740005,139.199997,135.130005,135.619995,135.619995,8694100
2022-04-06,133.750000,133.929993,130.809998,132.570007,132.570007,11679700
2022-04-07,133.009995,133.210007,130.020004,131.869995,131.869995,9858700
2022-04-08,132.000000,133.119995,130.630005,131.869995,131.869995,6702000
2022-04-11,130.039993,132.429993,130.039993,130.649994,130.649994,9915300
2022-04-12,131.809998,133.210007,130.149994,130.839996,130.839996,7885600
2022-04-13,131.050003,132.889999,130.750000,132.350006,132.350006,7694500
2022-04-14,132.809998,133.589996,130.350006,130.470001,130.470001,7283500
2022-04-18,130.070007,130.220001,126.820000,127.769997,127.769997,10571000
2022-04-19,128.089996,133.190002,127.790001,131.899994,131.899994,12767200
2022-04-20,126.050003,127.349998,124.110001,124.570000,124.570000,36465700
2022-04-21,125.540001,126.449997,121.279999,121.660004,121.660004,18688600
2022-04-22,120.010002,121.889999,118.150002,118.269997,118.269997,19472800
2022-04-25,117.660004,120.330002,116.750000,119.949997,119.949997,16491000
2022-04-26,119.150002,119.150002,115.639999,115.769997,115.769997,16116000
2022-04-27,115.430000,116.900002,113.389999,115.209999,115.209999,15553000
2022-04-28,115.220001,116.000000,112.690002,115.290001,115.290001,23192100
2022-04-29,115.199997,115.989998,111.360001,111.629997,111.629997,16907000
2022-05-02,111.709999,113.660004,111.010002,113.500000,113.500000,14300700
2022-05-03,114.050003,114.830002,112.690002,113.550003,113.550003,11149500
2022-05-04,113.370003,116.440002,111.830002,116.190002,116.190002,11488300
2022-05-05,114.739998,115.269997,111.480003,112.610001,112.610001,12720200
2022-05-06,111.769997,112.089996,108.300003,110.290001,110.290001,12525200
2022-05-09,108.110001,110.739998,106.480003,106.980003,106.980003,17941600
2022-05-10,109.839996,110.699997,106.139999,107.680000,107.680000,15657700
2022-05-11,107.900002,110.070000,104.790001,105.209999,105.209999,26933300
2022-05-12,102.900002,105.000000,99.470001,104.309998,104.309998,36298800
2022-05-13,105.360001,107.690002,105.309998,107.330002,107.330002,16782600
2022-05-16,107.459999,107.620003,104.849998,105.180000,105.180000,11993600
2022-05-17,107.730003,108.790001,106.300003,108.639999,108.639999,11847600
2022-05-18,107.379997,107.660004,103.879997,104.300003,104.300003,11794000
2022-05-19,103.430000,105.300003,102.959999,103.139999,103.139999,11285000
2022-05-20,104.489998,104.800003,100.050003,102.419998,102.419998,15650400
2022-05-23,103.760002,106.029999,101.559998,105.830002,105.830002,14402400
2022-05-24,103.709999,103.839996,100.129997,101.589996,101.589996,13970200
2022-05-25,101.430000,103.809998,101.160004,103.260002,103.260002,11026600
2022-05-26,104.220001,106.129997,103.959999,105.610001,105.610001,11297800
2022-05-27,106.889999,109.370003,106.529999,109.320000,109.320000,13671300
2022-05-31,110.000000,111.239998,107.910004,110.440002,110.440002,20274600
2022-06-01,112.010002,112.849998,108.269997,109.190002,109.190002,11829700
2022-06-02,109.430000,110.949997,107.910004,110.870003,110.870003,8829900
2022-06-03,109.169998,109.849998,107.919998,108.669998,108.669998,6767600
2022-06-06,109.750000,110.190002,107.650002,107.830002,107.830002,7575900
2022-06-07,106.790001,107.919998,106.000000,107.790001,107.790001,7279100
2022-06-08,107.430000,109.360001,106.959999,107.339996,107.339996,7019500
